UUID	Название блюда	ID
3a195acf-fe6e-4b7c-b1d2-749c79997aa7	Томат черри ким-чи 	06439
9ad247ea-b654-4ad5-a6b6-eb19330bf15e	Рамен крем-чиз с говяжей щековиной	06395
b9ba83e0-fc06-48d7-be0c-4316c9541ac3	Рамен с куриными вонтонами	06641
d37c4308-c982-414c-a79d-ae5b2bcf1556	Рамен с угрем в сливочном бульоне	06393
02bf6f24-7bca-4eed-bdba-02053ab83d42	Рамен с уткой и арахисовым бульоном	06394
da076466-098c-40d8-8a2a-30c48795b87d	Рамен со свининой	07045
79cd5f41-5923-48c9-b0a3-a4dcda1b6098	Том ям - Рамен с курицей	06639
819e3e89-04a1-4f45-ad70-0391ebe1aa85	Том-ям с морепродуктами	06387
1273b30a-d7c2-431f-83fe-aa28cdb24b69	Теплый салат с ростбифом 	10925
f951bf3e-d4c4-4ecf-8945-a594afd553ee	Боул с татаки из тунца	10923
37996160-4722-45be-b473-527b05916f5a	Мидии блючиз с манго	10876
bd31f613-3e86-4cdf-ac74-2f0d71f60040	Мидии в соусе том ям	10879
7ae6827e-3a16-4614-97d3-c17241196b2e	Мидии сливочный трюфель	10877
8ebca67f-31a3-43fa-b5bf-9e59b86a690d	Онигири Калифорния 	10864
34e1f8a5-c105-4df6-affd-d7ce45c758b1	Онигири Магуро	10887
e79540d4-8086-420b-9b69-9034a7c617b1	Онигири Унаги	10889
157772fc-63d1-46ce-ba37-0b3906b56bfc	Онигири Филадельфия	10888
e451ed78-768a-42f6-84ae-4153267d7c6b	Бао с креветкой 	10867
0512f9bf-09c8-4778-970c-3c6b4be3a61f	Литовел 500 мл	10511
d2bf2a1e-476d-426a-b66e-be725391c066	Литовел 330 мл	10512
ce794ed5-5a41-4198-8f78-48f673bf4c31	Чуанлан 1 литр	10796
65468dad-fbf1-4a9a-8bac-eba625695344	Фруктовое пиво 500 мл	10795
2f33832b-4093-4c32-9e19-7ac843c07a97	Крушовица темное 500 мл	10792
0d5ed772-6111-48b7-b288-95ecf254915a	Крушовица светлое 500 мл	10791
82090cab-028d-4d9f-a00d-8d355ca2d9c8	Корона 330 мл	10790
669d5b68-14ec-448c-9826-09bd5c1fe910	Клубника банан милкшейк 300мл	10736
acabbc86-8f63-40ba-a6e9-6beda8296d6d	Облепихово-вишневый компот	07175
1e790b9a-b862-4d2e-99a5-12f19320390e	Арбузный джин 300 мл	11142
906edd88-fdd2-4713-be2f-05cca6022d77	Мартини Фиеро-Тоник 150 мл	11296
e78ddeea-701c-400f-953b-6d702060deb7	Рулька в китайском соусе	12147
6b329306-40a5-4618-91be-9e1bd6898e7a	Лунный пряник 	12218
3ff078ba-52f1-4f46-89c6-225a6f9a4616	Моти Дубай 	12334
3a4702ef-79eb-4900-b632-ba913f6d0fe1	Удон с кальмаром	12133
f779281e-41b3-42b8-ad7e-d30b90e73918	Удон с угрем	12134
3b034a11-5da5-49bd-9ebd-c22548c2cd40	Банановый Нама 	12546
ea08ab7e-d441-4c0c-8ff7-8a535ad986f3	Картофель фри 	10929
2289d222-a3ad-459e-a88b-36c3bea95566	Яичная лапша с угрем 	12176
1bc0da9a-b22a-4f96-8672-3922dc954779	Яичная лапша с кальмаром 	12175
1867464a-5126-4f4a-b398-4aee575aa291	Абури с креветкой 	12137
5fa85073-b280-4055-a64a-2ce0da475f51	Абури с лососем	12136
cdea8a23-62af-4931-aeae-8afe165fb7a4	Абури с тунцом 	12138
e0f01f1f-9eaf-4775-8855-cabb6565868e	Абури с угрем 	12135
6886a498-b977-445f-80f4-b27721ea0c2e	Жареные Онигири Калифорния 	12149
cb26a76e-d121-4adb-baab-ca0a69276086	Жареные Онигири Магуро 	12150
42d378d1-9932-4994-ba17-289f9c957ced	Жареные Онигири Унаги 	12151
69725483-8ae2-4cfc-a2e6-10dac1cc5eb0	Жареные Онигири Филадельфия 	12152
c946f112-7256-48d8-b974-838af5517001	Салат с креветочными пончиками и рукколой 	12309
31914646-2446-40c8-aa05-29f81b0a8d17	 Салат с яйцами адзитама и куриным бедром	12429
1ef1c610-10c1-4296-9435-6b8b16ba8146	Салат с фунчозой и арахисом	12424
0f39cada-40dd-4e86-b9c5-29887625fe3c	Томатный кисло- острый суп с щековиной и яйцом	12420
665b3fda-fd28-41d7-aaa0-a8b843fa856b	Рамен со свининой тясю 	12144
0e3a8035-a52a-403c-84b7-f163ec51d314	Рамен с креветочными пончиками 	12145
35a08a60-c834-4413-94aa-87a567107c6f	Брюссельская капуста с курицей и соусом терияки	12421
5627b0da-4dde-44b0-a278-ca66188aec85	Энергетик 250мл	12685
08c76f19-e2a9-4962-bea0-2d89439510e3	Лимонад Клубника Бузина 330мл	12496
46fd5562-594a-4ca8-85a3-1b0c2fbeb051	Лимонад Манго Гаунабана 330мл	12489
5f0afaff-2e3b-47a9-9ec8-bbc6c56ec25f	Лимонад Маракуйя Персик 330мл	12494
0a326807-a1da-439b-91cf-698a4489ebb4	Лимонад Персик Груша 330мл	12492
5445f3ce-4d03-4994-860e-b169cd741348	Вишневая на попкорне 50 мл	12557
23a99799-4a5a-4c8e-9aa4-668ef1e5ba36	Лимончелло 50 мл	12558
ce24b1a0-b30f-46e9-9266-a70992fb276c	Облепиха на миндале 50 мл	12555
8c2e209e-5df3-4bc6-8fff-7b172f44362d	Черная смородина Ревень Липа 50 мл	12556
2d7bc4b6-70e1-4057-8e8c-26aa85dde5e5	Кульмбахер б/а, 500мл	10793
3c0b24d4-c213-44d5-95ed-fc42017441a6	Сайгон Лагер 330 мл	12540
84c7007b-3681-4e25-bba9-d180f65db268	Харбин Премиум 330 мл	12545
22c8a655-a8f5-47a8-8bc9-bdb72c555b47	Харбин Премиум 610 мл	12538
7b567e7e-4513-4551-8997-a2e2211c5947	Циндао Премиум 330 мл	12542
be15e22c-0cbf-475f-a87d-338261d2d7d4	Кузница 330 мл	12554
b087e5ca-52f4-4a9d-96b7-e6c80c6cb510	Кузница 500 мл	12553
a9025c44-ec80-44c3-bf20-b9d98a416291	Bubble Tea Малина Персик	12469
204c9398-9444-4295-a65a-42557541fb44	Bubble Tea Манго Маракуйя	12467
2a03b191-99b9-4833-9a87-8ecde5d636ba	Bubble Tea Соленая карамель	12465
